Distance_z(mm),Gray_value
70.0,0.062
70.7,4.586
71.3,1.242
72.0,2.459
72.6,4.533
73.3,0.088
73.9,5.37
74.6,2.639
75.2,1.276
75.9,6.824
76.5,1.39
77.2,2.839
77.8,7.877
78.5,1.11
79.1,3.733
79.8,9.691
80.5,1.891
81.1,3.389
81.8,12.719
82.4,5.15
83.1,1.451
83.7,15.861
84.4,14.733
85.0,0.384
85.7,14.682
86.3,37.362
87.0,18.024
87.6,3.122
88.3,92.245
88.9,267.842
89.6,385.094
90.3,345.751
90.9,201.392
91.6,69.622
92.2,9.248
92.9,0.538
93.5,4.299
94.2,3.919
94.8,1.453
95.5,0.427
96.1,0.453
96.8,0.342
97.4,0.109
98.1,0.266
98.7,0.795
99.4,1.074
100.1,0.666
100.7,0.069
101.4,0.293
102.0,1.48
102.7,2.4
103.3,1.881
104.0,0.506
104.6,0.187
105.3,1.815
105.9,3.891
106.6,4.094
107.2,2.092
107.9,0.233
108.5,1.048
109.2,4.298
109.8,6.925
110.5,6.194
111.2,2.743
111.8,0.259
112.5,1.903
113.1,6.989
113.8,11.279
114.4,10.819
115.1,5.827
115.7,0.958
116.4,1.474
117.0,8.495
117.7,17.481
118.3,21.509
119.0,16.963
119.6,7.141
120.3,0.652
121.0,5.335
121.6,21.861
122.3,41.812
122.9,52.237
123.6,44.478
124.2,22.046
124.9,2.489
125.5,11.314
126.2,70.418
126.8,186.5
127.5,345.171
128.1,513.774
128.8,651.911
129.4,725.246
130.1,716.936
130.8,632.366
131.4,495.869
132.1,341.406
132.7,201.239
133.4,96.884
134.0,35.171
134.7,9.886
135.3,7.369
136.0,13.251
136.6,17.649
137.3,17.22
137.9,14.003
138.6,12.234
139.2,14.926
139.9,21.776
140.6,29.2
141.2,32.315
141.9,27.87
142.5,16.835
143.2,5.528
143.8,4.753
144.5,27.12
145.1,83.386
145.8,178.897
146.4,311.225
147.1,469.671
147.7,636.799
148.4,791.584
149.0,913.408
149.7,985.931
150.4,1000.0
151.0,955.029
151.7,858.667
152.3,724.984
153.0,571.665
153.6,416.872
154.3,276.39
154.9,161.565
155.6,78.279
156.2,27.008
156.9,3.757
157.5,1.583
158.2,12.304
158.8,28.089
159.5,42.645
160.2,51.898
160.8,54.132
161.5,49.684
162.1,40.349
162.8,28.649
163.4,17.146
164.1,7.901
164.7,2.155
165.4,0.237
166.0,1.672
166.7,5.416
167.3,10.168
168.0,14.659
168.6,17.891
169.3,19.276
169.9,18.679
170.6,16.367
171.3,12.897
171.9,8.966
172.6,5.269
173.2,2.37
173.9,0.624
174.5,0.147
175.2,0.823
175.8,2.364
176.5,4.371
177.1,6.42
177.8,8.135
178.4,9.236
179.1,9.575
179.7,9.143
180.4,8.051
181.1,6.501
181.7,4.743
182.4,3.035
183.0,1.601
183.7,0.603
184.3,0.128
185.0,0.179
185.6,0.689
186.3,1.535
186.9,2.561
187.6,3.602
188.2,4.506
188.9,5.157
189.5,5.478
190.2,5.443
190.9,5.075
191.5,4.433
192.2,3.608
192.8,2.701
193.5,1.82
194.1,1.057
194.8,0.484
195.4,0.147
196.1,0.06
196.7,0.211
197.4,0.56
198.0,1.051
198.7,1.618
199.3,2.19
200.0,2.703
