Distance_z(mm),Gray_value
50.0,0.158
51.0,0.937
52.0,1.521
53.0,1.415
54.0,1.06
55.0,0.802
56.0,0.736
57.0,0.895
58.0,1.38
59.0,2.328
60.1,3.62
61.1,4.39
62.1,3.204
63.1,0.582
64.1,2.017
65.1,11.437
66.1,14.993
67.1,1.107
68.1,40.184
69.1,286.659
70.1,1000.0
71.1,141.516
72.1,33.942
73.1,2.856
74.1,12.261
75.1,0.501
76.1,4.726
77.1,0.849
78.1,2.202
79.1,0.775
80.2,1.308
81.2,0.649
82.2,0.883
83.2,0.65
84.2,0.585
85.2,0.72
86.2,0.466
87.2,0.609
88.2,0.715
89.2,0.258
90.2,1.006
91.2,0.361
92.2,0.533
93.2,1.195
94.2,0.138
95.2,0.914
96.2,1.38
97.2,0.075
98.2,1.166
99.2,1.869
100.3,0.168
101.3,1.081
102.3,2.792
103.3,0.887
104.3,0.424
105.3,3.595
106.3,3.338
107.3,0.142
108.3,2.434
109.3,7.307
110.3,4.794
111.3,0.013
112.3,6.416
113.3,18.012
114.3,14.501
115.3,0.644
116.3,18.078
117.3,100.687
118.3,225.184
119.3,319.974
120.4,325.779
121.4,244.26
122.4,129.914
123.4,41.768
124.4,3.717
125.4,2.149
126.4,10.432
127.4,12.219
128.4,6.996
129.4,1.549
130.4,0.205
131.4,1.966
132.4,3.574
133.4,3.254
134.4,1.675
135.4,0.435
136.4,0.342
137.4,0.989
138.4,1.508
139.4,1.441
140.5,0.971
141.5,0.558
142.5,0.468
143.5,0.619
144.5,0.771
145.5,0.785
146.5,0.718
147.5,0.709
148.5,0.812
149.5,0.931
150.5,0.921
151.5,0.733
152.5,0.497
153.5,0.444
154.5,0.734
155.5,1.31
156.5,1.889
157.5,2.122
158.5,1.817
159.5,1.103
160.6,0.421
161.6,0.32
162.6,1.16
163.6,2.871
164.6,4.894
165.6,6.376
166.6,6.545
167.6,5.133
168.6,2.67
169.6,0.524
170.6,0.631
171.6,5.001
172.6,15.122
173.6,31.455
174.6,53.167
175.6,78.171
176.6,103.484
177.6,125.787
178.6,142.067
179.6,150.176
180.7,149.194
181.7,139.535
182.7,122.787
183.7,101.355
184.7,77.996
185.7,55.344
186.7,35.526
187.7,19.918
188.7,9.07
189.7,2.776
190.7,0.264
191.7,0.433
192.7,2.104
193.7,4.226
194.7,6.012
195.7,7.001
196.7,7.05
197.7,6.272
198.7,4.941
199.7,3.395
200.8,1.953
201.8,0.852
202.8,0.217
203.8,0.059
204.8,0.298
205.8,0.793
206.8,1.381
207.8,1.915
208.8,2.281
209.8,2.419
210.8,2.322
211.8,2.027
212.8,1.602
213.8,1.127
214.8,0.683
215.8,0.331
216.8,0.113
217.8,0.04
218.8,0.1
219.8,0.264
220.9,0.489
221.9,0.727
222.9,0.937
223.9,1.087
224.9,1.157
225.9,1.141
226.9,1.047
227.9,0.893
228.9,0.703
229.9,0.504
230.9,0.32
231.9,0.172
232.9,0.074
233.9,0.031
234.9,0.042
235.9,0.1
236.9,0.191
237.9,0.301
238.9,0.414
239.9,0.514
241.0,0.592
242.0,0.638
243.0,0.648
244.0,0.625
245.0,0.571
246.0,0.494
247.0,0.403
248.0,0.307
249.0,0.215
250.0,0.136
